Humidity, Temp(C)
64.6%,   31.4C
64.6%,   31.4C
64.6%,   31.4C
64.6%,   31.4C
64.6%,   31.4C
64.6%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.5C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.5C
64.7%,   31.5C
64.7%,   31.4C
64.7%,   31.4C
64.7%,   31.4C
64.8%,   31.5C
64.9%,   31.4C
64.9%,   31.4C
65.1%,   31.4C
65.2%,   31.4C
65.3%,   31.4C
65.3%,   31.4C
65.3%,   31.4C
65.3%,   31.4C
65.3%,   31.4C
65.3%,   31.4C
65.3%,   31.4C
65.2%,   31.4C
65.2%,   31.4C
65.2%,   31.4C
65.4%,   31.4C
65.8%,   31.4C
66.2%,   31.4C
67.2%,   31.4C
68.2%,   31.4C
69.0%,   31.4C
69.9%,   31.4C
70.8%,   31.4C
71.6%,   31.4C
72.2%,   31.4C
72.6%,   31.4C
73.2%,   31.4C
73.7%,   31.4C
74.3%,   31.4C
74.7%,   31.4C
75.0%,   31.5C
75.4%,   31.4C
75.8%,   31.4C
76.1%,   31.4C
76.3%,   31.4C
76.6%,   31.4C
76.8%,   31.4C
77.0%,   31.4C
77.2%,   31.4C
77.4%,   31.4C
77.5%,   31.4C
77.7%,   31.4C
77.8%,   31.4C
77.9%,   31.4C
78.0%,   31.4C
78.1%,   31.4C
78.2%,   31.4C
78.3%,   31.4C
78.3%,   31.4C
78.4%,   31.3C
78.4%,   31.4C
78.3%,   31.4C
78.1%,   31.3C
77.7%,   31.3C
76.4%,   31.3C
75.6%,   31.3C
74.7%,   31.3C
74.1%,   31.3C
73.2%,   31.3C
72.4%,   31.3C
71.9%,   31.3C
71.5%,   31.3C
70.9%,   31.3C
70.4%,   31.3C
69.8%,   31.3C
69.3%,   31.3C
68.9%,   31.3C
68.5%,   31.2C
68.2%,   31.3C
67.9%,   31.3C
67.6%,   31.3C
67.4%,   31.2C
67.2%,   31.2C
67.1%,   31.2C
67.0%,   31.2C
66.9%,   31.2C
66.9%,   31.3C
66.8%,   31.2C
66.8%,   31.2C
66.7%,   31.2C
66.6%,   31.2C
66.5%,   31.1C
66.4%,   31.1C
66.3%,   31.2C
66.3%,   31.1C
66.2%,   31.2C
66.2%,   31.1C
66.2%,   31.2C
66.2%,   31.1C
66.3%,   31.1C
66.3%,   31.2C
66.3%,   31.1C
66.3%,   31.1C
66.3%,   31.1C
66.4%,   31.1C
66.4%,   31.1C
66.4%,   31.1C
66.4%,   31.1C
66.4%,   31.1C
66.4%,   31.1C
66.5%,   31.1C
66.5%,   31.1C
66.5%,   31.1C
66.6%,   31.1C
66.6%,   31.1C
66.6%,   31.1C
66.6%,   31.1C
66.6%,   31.1C
66.6%,   31.1C
66.6%,   31.1C
66.5%,   31.1C
66.5%,   31.1C
66.5%,   31.1C
